Categoria,Producto_Diseno,SKU,Tallas_Disponibles,Archivo_Asociado,Especificaciones_Generales,Modalidad_Venta,Precio_Unitario_PEN,Volumen_1_Etiqueta,Volumen_1_Precio,Volumen_2_Etiqueta,Volumen_2_Precio,Volumen_3_Etiqueta,Volumen_3_Precio
"Muebles Hogar","Sillas de Playa Premium (Blue Striped)","SILLA_PLAYA01","Talla Única","Muebles_Hogar-Silla_Playa_Premium-Blue_Striped-SILLA_PLAYA01-Talla_Unica.jpg","Silla de playa premium con 5 posiciones ajustables, almohada de soporte para el cuello, amplio bolsillo lateral, bolsa hielera desmontable y tirantes acolchados tipo mochila para liberar las manos.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Motos","Red","MXR 001","Talla Única","Juguetes-Moto_Mini_Motocross-Red-MXR_001-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Motos","Black","MXR_002","Talla Única","Juguetes-Moto_Mini_Motocross-Black-MXR_002-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Motos","White Black","MXR_003","Talla Única","Juguetes-Moto_Mini_Motocross-White_Black-MXR_003-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Motos","Blue Red","MXR_004","Talla Única","Juguetes-Moto_Mini_Motocross-Blue_Red-MXR_004-Talla_Unica.jpg","Moto cross 49CC a gasolina para niños de 5 a 12 años. Motor de 2 tiempos, automática, tanque de combustible de 2 a 4 litros (autonomía 30-40 km) y llantas Aro 10. Cuenta con frenos de disco mecánicos, suspensión, velocidad máxima de 45 km/h, peso de 20 kg, capacidad de carga de 90 kg y encendido a jalón.","Ventas por unidad, docena o cajón","650","6 und","620","12 und","600","24 und","590"
"Juguetes - Cascos","Casco (Black)","CHX","Talla Única","Juguetes-Casco-Black-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Blue White)","CHX","Talla Única","Juguetes-Casco-Blue_White-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Orange Monster)","CHX","Talla Única","Juguetes-Casco-Orange_Monster-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Pink Blue)","CHX","Talla Única","Juguetes-Casco-Pink_Blue-CHX-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
"Juguetes - Cascos","Casco (Orange Monster CH05)","CH05","Talla Única","Juguetes-Casco-Orange_Monster-CH05-Talla_Unica.jpg","Cascos infantiles para motocross con diseños modernos, ligeros y seguros, ideales para pilotos entre 5 y 12 años.","Ventas por unidad, docena o cajón","","","","","","",""
